            146            403          47.37        0.10518       0.265468
            147            469         -58.49      -0.142481       0.265468
            148            145         697.55       0.827903       0.894195
            149             59         731.61       0.925374       0.894195
            150             60          659.4       0.916597       0.894195
            151             -3         708.63        1.00425       0.894195
            152            126         553.54        0.81458       0.894195
            153              8         668.32       0.988171       0.894195
            154             56         508.24       0.900751       0.894195
            155             79         524.41       0.869077       0.894195
            156             63         755.77       0.923055       0.894195
            157             46         571.34       0.925487       0.894195
            158            -15         552.15        1.02793       0.894195
            159            117         642.43       0.845937       0.894195
            160             56         573.24       0.911004       0.894195
            161            169         517.51       0.753827       0.894195
            162            360          148.4       0.291896       0.265468
            163            353         161.87        0.31439       0.265468
            164            160          517.4       0.763803       0.894195
            165            344         150.76       0.304713       0.265468
            166            287          92.73         0.2442       0.265468
            167            259          45.61       0.149732       0.265468
            168            423         -11.83     -0.0287716       0.265468
            169            284         115.36       0.288862       0.265468
            170            414          89.06       0.177037       0.265468
            171            339         -31.19      -0.101329       0.265468
            172            357         113.03       0.240474       0.265468
            173            487          47.73        0.08926       0.265468
            174            347          40.13        0.10366       0.265468
            175            437         112.23       0.204341       0.265468
            176            293          99.47       0.253446       0.265468
            177            262          54.98       0.173449       0.265468
            178            381         124.99       0.247021       0.265468
            179            213         132.27       0.383091       0.265468
            180            285         154.15       0.351019       0.265468
            181            384          46.36       0.107724       0.265468
            182            419         120.01       0.222649       0.265468
            183            363         128.77        0.26185       0.265468
            184            427         108.33       0.202361       0.265468
            185            383          26.57      0.0648729       0.265468
            186            338          88.02        0.20661       0.265468
            187            436          -1.56    -0.00359083       0.265468
            188            283          64.57       0.185776       0.265468
            189            394          93.26       0.191397       0.265468
            190            274         103.46       0.274095       0.265468
            191            323         113.17       0.259463       0.265468
            192            414         109.06       0.208504       0.265468
            193            376         193.04       0.339238       0.265468
            194            408         140.32       0.255909       0.265468
            195            392         190.68       0.327247       0.265468
            196            370          132.3       0.263388       0.265468
            197            329          92.91       0.220213       0.265468
            198            407         -17.47     -0.0448489       0.265468
            199            337         150.23       0.308335       0.265468
            200            398         237.42       0.373643       0.265468
            201             67         513.93       0.884668       0.894195
            202              2         597.58       0.996664       0.894195
            203            110          659.9       0.857124       0.894195
            204            100            657         0.8679       0.894195
            205            116         540.64       0.823343       0.894195
            206            318         188.22       0.371815       0.265468
            207            324          54.96       0.145028       0.265468
            208            378         108.62       0.223213       0.265468
            209            337         128.23       0.275627       0.265468
            210            330          202.7       0.380514       0.265468
            211            386         136.94       0.261866       0.265468
            212            471         139.09       0.227983       0.265468
            213            396         154.84       0.281098       0.265468
            214            541         126.39        0.18938       0.265468
            215            368         132.72       0.265058       0.265468
            216            239         265.81       0.526555       0.265468
            217             61         581.19       0.905013       0.894195
            218             55         495.45       0.900082       0.894195
            219             48         489.92       0.910767       0.894195
            220             91         609.89       0.870165       0.894195
            221             48         699.92       0.935822       0.894195
            222            316         202.64       0.390714       0.265468
            223            469         147.51       0.239266       0.265468
            224            322         184.38       0.364114       0.265468
            225            420          169.8       0.287894       0.265468
            226            275         132.25       0.324739       0.265468
            227            330          265.7        0.44603       0.265468
            228            232         394.28       0.629559       0.265468
            229            299          75.21       0.200983       0.265468
            230            112         428.48       0.792777       0.894195
            231             15         573.85       0.974527       0.894195
            232            108         527.32       0.830007       0.894195
            233            205         486.95       0.703736       0.894195
            234            374          22.46      0.0566514       0.265468
            235            345          38.55       0.100508       0.265468
            236            342         120.18       0.260029       0.265468
            237            267         415.93       0.609038       0.894195
            238             74         582.46       0.887274       0.894195
            239             17         486.43       0.966232       0.894195
            240             54         573.66       0.913966       0.894195
            241             27         597.33       0.956754       0.894195
            242             55         515.45       0.903585       0.894195
            243             27         478.33        0.94657       0.894195
            244            194         635.26       0.766056       0.894195
            245             82         639.78       0.886392       0.894195
            246             58         442.82        0.88419       0.894195
            247            399         102.21       0.203926       0.265468
            248            361         183.19       0.336629       0.265468
            249            253         107.87       0.298917       0.265468
            250            323          51.17       0.136756       0.265468
            251            393          87.47       0.182051       0.265468
            252            348          21.92      0.0592561       0.265468
            253            433          51.07       0.105501       0.265468
            254            311         144.69       0.317518       0.265468
            255            295         192.05       0.394313       0.265468
            256            331         121.49       0.268492       0.265468
            257             35         581.65       0.943242       0.894195
            258             -4         468.84        1.00861       0.894195
            259             22         432.38       0.951582       0.894195
            260             74         553.46       0.882064       0.894195
            261             82         455.78       0.847521       0.894195
            262            441          85.39       0.162218       0.265468
            263            338          37.02      0.0987147       0.265468
            264            318         115.22       0.265962       0.265468
            265            423         166.17       0.282041       0.265468
            266            316          70.64       0.182702       0.265468
            267            418          59.22       0.124094       0.265468
            268            452         139.08       0.235298       0.265468
            269            189         873.31       0.822086       0.894195
            270            187        1005.73       0.843217       0.894195
            271            228         343.12       0.600784       0.894195
            272            480          218.2       0.312518       0.265468
            273            327         382.33       0.539002       0.265468
            274            115         657.85         0.8512       0.894195
            275             42         786.18       0.949286       0.894195
            276             84         838.36       0.908929       0.894195
            277             97         549.63       0.849991       0.894195
            278            133         722.07       0.844457       0.894195
            279            441         175.39       0.284544       0.265468
            280            591         291.89       0.330607       0.265468
            281            326         208.54        0.39013       0.265468
            282            388         206.52       0.347373       0.265468
            283            410           71.9       0.149201       0.265468
            284            333         160.07        0.32464       0.265468
            285            459         115.61       0.201197       0.265468
            286            464         173.56       0.272225       0.265468
            287            229         186.91         0.4494       0.265468
            288            352          98.08       0.217917       0.265468
            289            471          57.09       0.108107       0.265468
            290            472         172.88       0.268081       0.265468
            291            403         166.37         0.2922       0.265468
